zip,surge_cat1_share,surge_cat3_share
04275,0,0
04276,0,0
04280,0,0
04281,0,0
04282,0,0
04284,0,0
04285,0,0
04286,0,0
04287,0,0
04289,0,0
04290,0,0
04292,0,0
04294,0,0
04330,0.000203,0.000792
04341,0,0
04342,0.0216,0.0401
04344,0,0.00106
04345,0.00981,0.0167
04346,0.00779,0.0234
04347,0.00081,0.00121
04348,0,0
04349,0,0
04350,0,0
04351,0,0
04352,0,0
04353,0,0
04354,0,0
04355,0,0
04357,0.000313,0.00102
04358,0,0
04359,0.00639,0.0128
04360,0,0
04363,0,0
04364,0,0
04401,0.000823,0.00468
04406,0,0
04408,0,0
04410,0,0
04411,0,0
04412,0.0103,0.0599
04416,0.00629,0.0224
04417,0,0
04418,0,0
04419,0,0
04421,0.028,0.0975
04422,0,0
04426,0,0
04427,0,0
04428,0,0
04429,0,0
04431,0,0
04434,0,0
04435,0,0
04438,0.00211,0.00882
04443,0,0
04444,0.00136,0.00525
04448,0,0
04449,0,0
04450,0,0
04453,0,0
04456,0,0
04461,0,0
04463,0,0
04468,0,0
04469,0,0
04472,0.00564,0.02
04473,0,0
04474,0.00188,0.0103
04475,0,0
04476,0.00754,0.0257
04479,0,0
04481,0,0
04488,0,0
04489,0,0
04493,0,0
04496,0.00372,0.00962
04530,0.0669,0.139
04535,0.00672,0.0235
04537,0.0156,0.065
04538,0.0111,0.0523
04539,0.000289,0.00217
04541,0,0.0344
04543,0.0215,0.0629
04544,0.0236,0.0955
04547,0.0357,0.121
04548,0.0952,0.158
04551,0.0136,0.0552
04553,0.0507,0.113
04554,0.0158,0.0599
04555,0.00868,0.0243
04556,0.00713,0.028
04558,0.0116,0.0519
04562,0.0805,0.141
04563,0.00868,0.0792
04564,0.000953,0.00984
04568,0.0261,0.0995
04570,0.105,0.176
04571,0.0241,0.102
04572,0.0072,0.026
04573,0.00877,0.0517
04574,0,0
04575,0.0939,0.235
04576,0.06,0.166
04578,0.0148,0.0507
04579,0.0242,0.0554
04605,0.00407,0.0161
04606,0.0334,0.101
04607,0.00697,0.0265
04609,0.031,0.0682
04611,0.0286,0.16
04612,0.0288,0.0735
04613,0.0111,0.0727
04614,0.00372,0.0151
04616,0.0218,0.0718
04617,0.0217,0.0903
04619,0.00116,0.00613
04622,0.00057,0.000999
04623,0.00488,0.00965
04624,0.0271,0.107
04625,0.0468,0.28
04626,0.00353,0.0221
04627,0.0253,0.0954
04628,0.000337,0.00344
04630,0.000763,0.00226
04631,0.0123,0.04
04634,0.00394,0.011
04635,0.0142,0.0244
04640,0.00903,0.0404
04642,0.0209,0.0994
04643,0.0532,0.154
04645,0.00457,0.031
04646,0.151,0.406
04648,0.0038,0.0173
04649,0.0146,0.112
04650,0.0266,0.1
04652,0.00131,0.0139
04653,0.0769,0.179
04654,0.00488,0.0127
04655,0.0054,0.0467
04657,0,0
04658,0.0366,0.11
04660,0.00909,0.0331
04662,0.00165,0.00936
04664,0.00106,0.00606
04666,0.000765,0.00559
04667,0.00118,0.00746
04668,0,0
04669,0.0353,0.117
04671,0,0.000997
04673,0.0109,0.0763
04674,0.00679,0.0374
04675,0.00919,0.0283
04676,0.0174,0.0507
04677,0.00533,0.0509
04679,0.0271,0.0831
04680,0.014,0.0612
04681,0.0182,0.0848
04683,0.0406,0.221
04684,0.00691,0.0288
04685,0.0259,0.075
04686,0,0
04691,0.000454,0.00278
04693,0.013,0.0468
04694,0.0000176,0.0000176
04841,0.00964,0.023
04843,0.00219,0.00655
04847,0,0
04848,0.0761,0.189
04849,0.00252,0.00594
04851,0.0212,0.081
04852,0.00282,0.031
04853,0.0157,0.0942
04854,0.0264,0.127
04855,0.0408,0.118
04856,0.00033,0.00231
04858,0.0436,0.103
04859,0.0843,0.238
04860,0.0209,0.123
04861,0.0213,0.0523
04862,0,0
04863,0.0292,0.102
04864,0.00323,0.00723
04901,0,0
04910,0,0
04911,0,0
04912,0,0
04915,0.000972,0.00548
04917,0,0
04918,0,0
04920,0,0
04921,0,0
04922,0,0
04923,0,0
04924,0,0
04925,0,0
04926,0,0
04927,0,0
04928,0,0
04929,0,0
04930,0,0
04932,0,0
04936,0,0
04937,0,0
04938,0,0
04939,0,0
04940,0,0
04941,0,0
04942,0,0
04943,0,0
04944,0,0
04947,0,0
04949,0,0
04950,0,0
04951,0,0
04952,0,0
04953,0,0
04955,0,0
04956,0,0
04957,0,0
04958,0,0
04961,0,0
04963,0,0
04964,0,0
04965,0,0
04966,0,0
04967,0,0
04969,0,0
04970,0,0
04971,0,0
04973,0,0
04974,0.00677,0.0318
04975,0,0
04976,0,0
04978,0,0
04979,0,0
04981,0.00909,0.0416
04982,0,0
04983,0,0
04984,0,0
04986,0,0
04987,0,0
04988,0,0
04989,0,0
04992,0,0
05001,0,0
05009,0,0
05030,0,0
05031,0,0
05032,0,0
05033,0,0
05034,0,0
05035,0,0
05036,0,0
05037,0,0
05038,0,0
05039,0,0
05040,0,0
05041,0,0
05042,0,0
05043,0,0
05045,0,0
05046,0,0
05048,0,0
05050,0,0
05051,0,0
05052,0,0
05053,0,0
05055,0,0
05056,0,0
05058,0,0
05059,0,0
05060,0,0
05061,0,0
05062,0,0
05065,0,0
05067,0,0
05068,0,0
05069,0,0
05070,0,0
05071,0,0
05072,0,0
05073,0,0
05075,0,0
05076,0,0
05077,0,0
05079,0,0
05081,0,0
05083,0,0
05084,0,0
05086,0,0
05088,0,0
05089,0,0
05091,0,0
05101,0,0
05141,0,0
05142,0,0
05143,0,0
05146,0,0
05148,0,0
05149,0,0
05150,0,0
05151,0,0
05152,0,0
05153,0,0
05154,0,0
05155,0,0
05156,0,0
05158,0,0
05161,0,0
05201,0,0
05250,0,0
05251,0,0
05252,0,0
05253,0,0
05254,0,0
05255,0,0
05257,0,0
05260,0,0
05261,0,0
05262,0,0
05301,0,0
05340,0,0
05341,0,0
05342,0,0
05343,0,0
05344,0,0
05345,0,0
05346,0,0
05350,0,0
05351,0,0
05352,0,0
05353,0,0
05354,0,0
05355,0,0
05356,0,0
05358,0,0
05359,0,0
05360,0,0
05361,0,0
05362,0,0
05363,0,0
05401,0,0
05403,0,0
05404,0,0
05405,0,0
05408,0,0
05439,0,0
05440,0,0
05441,0,0
05442,0,0
05443,0,0
05444,0,0
05445,0,0
05446,0,0
05447,0,0
05448,0,0
05450,0,0
05452,0,0
05454,0,0
05455,0,0
05456,0,0
05457,0,0
05458,0,0
05459,0,0
05461,0,0
05462,0,0
