fips,p_pga_ge_0_1g_per_year,p_pga_ge_0_2g_per_year,mmi6_100yr,model
22013,0.000352,0.00007842,0.1044,conus-2023-grid
22015,0.0003702,0.00008575,0.0939,conus-2023-grid
22017,0.0003143,0.00007463,0.1062,conus-2023-grid
22019,0.0001382,0.00004445,0.05714,conus-2023-grid
22021,0.0003714,0.00008158,0.09787,conus-2023-grid
22023,0.0001234,0.00003995,0.05948,conus-2023-grid
22025,0.0002754,0.00006021,0.1093,conus-2023-grid
22027,0.0005283,0.0001248,0.1132,conus-2023-grid
22029,0.0002471,0.0000547,0.09315,conus-2023-grid
22031,0.0002401,0.00005711,0.07219,conus-2023-grid
22033,0.0001697,0.00004526,0.08427,conus-2023-grid
22035,0.0007518,0.000193,0.1847,conus-2023-grid
22037,0.0001863,0.00004592,0.07467,conus-2023-grid
22039,0.0001561,0.00004113,0.07825,conus-2023-grid
22041,0.0004137,0.00009134,0.1379,conus-2023-grid
22043,0.0002328,0.00005271,0.074,conus-2023-grid
22045,0.0001333,0.0000421,0.06069,conus-2023-grid
22047,0.0001577,0.00004514,0.07062,conus-2023-grid
22049,0.0003963,0.00008829,0.1115,conus-2023-grid
22051,0.0001615,0.0000491,0.02829,conus-2023-grid
22053,0.000137,0.00004079,0.06781,conus-2023-grid
22055,0.0001406,0.00004027,0.07085,conus-2023-grid
22057,0.0001601,0.00004904,0.0649,conus-2023-grid
22059,0.000265,0.00005838,0.1015,conus-2023-grid
22061,0.0004974,0.0001151,0.1094,conus-2023-grid
22063,0.0001694,0.00004596,0.08271,conus-2023-grid
22065,0.0005201,0.0001192,0.1531,conus-2023-grid
22067,0.0007874,0.0002091,0.1842,conus-2023-grid
22069,0.0002306,0.00005333,0.09359,conus-2023-grid
22071,0.0001603,0.00004542,0.07732,conus-2023-grid
22073,0.0005227,0.0001212,0.1524,conus-2023-grid
22075,0.0001711,0.00005383,0.06689,conus-2023-grid
22077,0.0001686,0.00004327,0.07791,conus-2023-grid
22079,0.0001868,0.00004521,0.06468,conus-2023-grid
22081,0.0002723,0.0000618,0.08773,conus-2023-grid
22083,0.0005298,0.0001223,0.1548,conus-2023-grid
22085,0.000194,0.00004882,0.08971,conus-2023-grid
22087,0.0001593,0.00004686,0.0313,conus-2023-grid
22089,0.000158,0.00004629,0.0717,conus-2023-grid
22091,0.0001899,0.00004682,0.07101,conus-2023-grid
22093,0.0001601,0.00004748,0.06265,conus-2023-grid
22095,0.0001618,0.00004611,0.07664,conus-2023-grid
22097,0.0001551,0.00004124,0.07923,conus-2023-grid
22099,0.0001495,0.00004399,0.06427,conus-2023-grid
22101,0.0001458,0.00004645,0.06373,conus-2023-grid
22103,0.0001737,0.00004674,0.08552,conus-2023-grid
22105,0.0001802,0.00004638,0.07635,conus-2023-grid
22107,0.0003799,0.00008281,0.1316,conus-2023-grid
22109,0.0001566,0.00004919,0.062,conus-2023-grid
22111,0.0006776,0.0001703,0.145,conus-2023-grid
22113,0.0001249,0.00003818,0.06262,conus-2023-grid
22115,0.0001673,0.00004401,0.05428,conus-2023-grid
22117,0.0002052,0.00005126,0.08409,conus-2023-grid
22119,0.0004234,0.00009738,0.1408,conus-2023-grid
22121,0.0001636,0.00004465,0.08076,conus-2023-grid
22123,0.0007971,0.0002108,0.1888,conus-2023-grid
22125,0.0001824,0.00004484,0.04406,conus-2023-grid
22127,0.00029,0.00006397,0.1153,conus-2023-grid
23001,0.001279,0.0004599,0.1004,conus-2023-grid
23003,0.001368,0.0004086,0.1336,conus-2023-grid
23005,0.001327,0.0004726,0.1096,conus-2023-grid
23007,0.001072,0.0003507,0.09154,conus-2023-grid
23009,0.0007863,0.0002653,0.07004,conus-2023-grid
23011,0.001207,0.0004392,0.1097,conus-2023-grid
23013,0.0008079,0.0002686,0.07893,conus-2023-grid
23015,0.0009994,0.0003447,0.1315,conus-2023-grid
23017,0.001226,0.0004268,0.09982,conus-2023-grid
23019,0.0009149,0.0002904,0.08162,conus-2023-grid
23021,0.001007,0.0002906,0.09158,conus-2023-grid
23023,0.00113,0.0003953,0.1445,conus-2023-grid
23025,0.001003,0.0003003,0.09039,conus-2023-grid
23027,0.001,0.0003523,0.08264,conus-2023-grid
23029,0.0007886,0.0002785,0.07003,conus-2023-grid
23031,0.00166,0.0006234,0.133,conus-2023-grid
24001,0.0005929,0.000196,0.08931,conus-2023-grid
24003,0.0007495,0.0002304,0.09911,conus-2023-grid
24005,0.001076,0.0003765,0.08346,conus-2023-grid
24009,0.0006374,0.0001827,0.1207,conus-2023-grid
24011,0.0006337,0.0001975,0.101,conus-2023-grid
24013,0.0009967,0.0003446,0.07798,conus-2023-grid
24015,0.00137,0.0005231,0.1246,conus-2023-grid
24017,0.0008613,0.0002623,0.1258,conus-2023-grid
24019,0.0004824,0.0001337,0.1042,conus-2023-grid
24021,0.0009052,0.0003069,0.1045,conus-2023-grid
24023,0.0004425,0.0001362,0.04867,conus-2023-grid
24025,0.001256,0.0004638,0.1361,conus-2023-grid
24027,0.0009349,0.0003106,0.09046,conus-2023-grid
24029,0.00092,0.0003118,0.115,conus-2023-grid
24031,0.0009284,0.0003058,0.09528,conus-2023-grid
24033,0.0007704,0.0002331,0.1351,conus-2023-grid
24035,0.0007583,0.0002432,0.1191,conus-2023-grid
24037,0.0006249,0.0001767,0.08019,conus-2023-grid
24039,0.0003653,0.00009688,0.0457,conus-2023-grid
24041,0.0006051,0.0001779,0.1154,conus-2023-grid
24043,0.0008168,0.00028,0.08802,conus-2023-grid
24045,0.0003834,0.0001065,0.08615,conus-2023-grid
24047,0.0002943,0.00008104,0.07692,conus-2023-grid
24510,0.0009464,0.0003154,0.09037,conus-2023-grid
25001,0.0006634,0.0002227,0.104,conus-2023-grid
25003,0.0008678,0.0002622,0.09795,conus-2023-grid
25005,0.001061,0.0003796,0.1098,conus-2023-grid
25007,0.0006889,0.0002399,0.09159,conus-2023-grid
25009,0.002004,0.0008203,0.1907,conus-2023-grid
25011,0.0009555,0.0002947,0.1113,conus-2023-grid
25013,0.001058,0.0003486,0.08518,conus-2023-grid
25015,0.0009701,0.0003046,0.09594,conus-2023-grid
25017,0.001747,0.0006818,0.1829,conus-2023-grid
25019,0.0004467,0.000146,0.04838,conus-2023-grid
25021,0.001376,0.0004995,0.1007,conus-2023-grid
25023,0.001131,0.0004035,0.1417,conus-2023-grid
25025,0.001611,0.0006172,0.1289,conus-2023-grid
25027,0.001243,0.000427,0.1018,conus-2023-grid
26001,0.00007087,0.0000225,0.0111,conus-2023-grid
26003,0.00003079,0.00001007,0.00407,conus-2023-grid
26005,0.0002144,0.00006594,0.07374,conus-2023-grid
26007,0.00006603,0.00002106,0.01006,conus-2023-grid
26009,0.00004441,0.00001411,0.03163,conus-2023-grid
26011,0.00008318,0.00002574,0.04283,conus-2023-grid
26013,0.00003485,0.00001215,0.003161,conus-2023-grid
26015,0.0002534,0.0000848,0.07854,conus-2023-grid
26017,0.00009989,0.00003036,0.04857,conus-2023-grid
26019,0.00004178,0.00001286,0.008322,conus-2023-grid
26021,0.0002724,0.00007593,0.06561,conus-2023-grid
26023,0.0004321,0.0001507,0.0641,conus-2023-grid
26025,0.0003594,0.0001247,0.08418,conus-2023-grid
26027,0.0003011,0.00009327,0.06577,conus-2023-grid
26029,0.00003731,0.00001204,0.006316,conus-2023-grid
26031,0.00004844,0.00001563,0.006635,conus-2023-grid
26033,0.0000495,0.00001613,0.01252,conus-2023-grid
26035,0.00007308,0.00002217,0.01748,conus-2023-grid
26037,0.0001936,0.00006226,0.06233,conus-2023-grid
26039,0.00005475,0.00001729,0.02979,conus-2023-grid
26041,0.00002845,0.000009108,0.01777,conus-2023-grid
26043,0.0000265,0.000008455,0.009463,conus-2023-grid
26045,0.0002712,0.00009067,0.07458,conus-2023-grid
26047,0.0000426,0.00001377,0.009602,conus-2023-grid
26049,0.0001862,0.00005816,0.05844,conus-2023-grid
26051,0.00007809,0.00002386,0.03543,conus-2023-grid
26053,0.00004377,0.00001718,0.008554,conus-2023-grid
26055,0.00004523,0.00001413,0.009158,conus-2023-grid
26057,0.0001351,0.00004155,0.03073,conus-2023-grid
26059,0.0004706,0.0001653,0.09582,conus-2023-grid
26061,0.00003916,0.00001417,0.003367,conus-2023-grid
26063,0.00009899,0.00003079,0.04553,conus-2023-grid
26065,0.0002779,0.00009151,0.06575,conus-2023-grid
26067,0.0001824,0.00005811,0.06717,conus-2023-grid
26069,0.00007526,0.00002372,0.03848,conus-2023-grid
26071,0.00002908,0.000009504,0.01087,conus-2023-grid
26073,0.000094,0.00002817,0.0504,conus-2023-grid
26075,0.0003844,0.0001315,0.0862,conus-2023-grid
26077,0.0003134,0.0001066,0.07607,conus-2023-grid
26079,0.00005001,0.0000157,0.02894,conus-2023-grid
26081,0.0001508,0.00004642,0.03163,conus-2023-grid
26083,0.00003681,0.00001304,0.003201,conus-2023-grid
26085,0.00006313,0.00001887,0.02416,conus-2023-grid
26087,0.0001764,0.00005522,0.04418,conus-2023-grid
26089,0.00003614,0.00001142,0.006879,conus-2023-grid
26091,0.0005268,0.000189,0.07331,conus-2023-grid
26093,0.0002903,0.00009611,0.06947,conus-2023-grid
26095,0.00003874,0.00001275,0.01188,conus-2023-grid
26097,0.00003954,0.00001291,0.007265,conus-2023-grid
26099,0.0002671,0.00008905,0.07225,conus-2023-grid
26101,0.00005066,0.00001524,0.03865,conus-2023-grid
26103,0.00003043,0.00001012,0.003034,conus-2023-grid
26105,0.00006024,0.00001783,0.02695,conus-2023-grid
26107,0.00008803,0.00002613,0.05005,conus-2023-grid
26109,0.00002704,0.000008509,0.02238,conus-2023-grid
26111,0.00009942,0.00003001,0.05013,conus-2023-grid
26113,0.0000583,0.00001797,0.03942,conus-2023-grid
26115,0.0005722,0.0002186,0.1068,conus-2023-grid
26117,0.000122,0.00003687,0.05214,conus-2023-grid
26119,0.00005538,0.00001773,0.02335,conus-2023-grid
26121,0.00009008,0.00002618,0.04031,conus-2023-grid
26123,0.00008729,0.0000257,0.02532,conus-2023-grid
26125,0.0002823,0.00009465,0.07449,conus-2023-grid
26127,0.00007797,0.00002274,0.03572,conus-2023-grid
26129,0.00006813,0.00002128,0.01144,conus-2023-grid
26131,0.0000452,0.00001742,0.005746,conus-2023-grid
26133,0.00006764,0.00002036,0.01154,conus-2023-grid
26135,0.00005997,0.00001902,0.0135,conus-2023-grid
26137,0.00005026,0.00001606,0.02647,conus-2023-grid
26139,0.0001278,0.00003784,0.06404,conus-2023-grid
26141,0.00006401,0.00002044,0.01325,conus-2023-grid
26143,0.00006269,0.00001947,0.02915,conus-2023-grid
26145,0.0001355,0.00004133,0.05573,conus-2023-grid
26147,0.0002001,0.00006369,0.05279,conus-2023-grid
26149,0.0003688,0.0001232,0.06669,conus-2023-grid
26151,0.000132,0.00004086,0.03793,conus-2023-grid
26153,0.00003207,0.00001041,0.007098,conus-2023-grid
26155,0.0001974,0.00006254,0.06589,conus-2023-grid
26157,0.000123,0.00003764,0.04253,conus-2023-grid
26159,0.00023,0.00006991,0.08537,conus-2023-grid
26161,0.0004259,0.0001514,0.05403,conus-2023-grid
26163,0.000432,0.0001594,0.08905,conus-2023-grid
26165,0.0000537,0.00001643,0.03013,conus-2023-grid
27001,0.0000397,0.00001329,0.008004,conus-2023-grid
27003,0.00004132,0.00001354,0.02452,conus-2023-grid
27005,0.00006299,0.00002088,0.01013,conus-2023-grid
27007,0.00004151,0.00001395,0.004106,conus-2023-grid
27009,0.00005337,0.00001757,0.007607,conus-2023-grid
27011,0.0001616,0.0000605,0.02264,conus-2023-grid
27013,0.00005375,0.0000172,0.03542,conus-2023-grid
27015,0.00007161,0.00002334,0.02771,conus-2023-grid
27017,0.00003378,0.00001131,0.004471,conus-2023-grid
27019,0.00005151,0.00001684,0.02853,conus-2023-grid
27021,0.00004625,0.00001547,0.007243,conus-2023-grid
27023,0.0001156,0.00004057,0.01951,conus-2023-grid
27025,0.00003683,0.00001212,0.01284,conus-2023-grid
27027,0.00007228,0.00002395,0.01366,conus-2023-grid
27029,0.00004639,0.00001552,0.006008,conus-2023-grid
27031,0.00003226,0.00001075,0.00275,conus-2023-grid
27033,0.00008279,0.00002673,0.02965,conus-2023-grid
27035,0.0000478,0.00001591,0.005124,conus-2023-grid
27037,0.00003925,0.00001266,0.02215,conus-2023-grid
27039,0.00003869,0.00001204,0.03661,conus-2023-grid
27041,0.000105,0.00003741,0.01557,conus-2023-grid
27043,0.00005128,0.00001619,0.0336,conus-2023-grid
27045,0.0000397,0.00001166,0.02795,conus-2023-grid
27047,0.00004403,0.00001365,0.02572,conus-2023-grid
27049,0.0000362,0.00001147,0.02587,conus-2023-grid
27051,0.0001409,0.00005378,0.01842,conus-2023-grid
27053,0.00004515,0.00001473,0.0189,conus-2023-grid
27055,0.00004261,0.00001226,0.02466,conus-2023-grid
27057,0.00005015,0.00001673,0.004594,conus-2023-grid
27059,0.00004157,0.00001369,0.01395,conus-2023-grid
27061,0.00003792,0.00001281,0.005452,conus-2023-grid
27063,0.00007996,0.00002567,0.03435,conus-2023-grid
27065,0.00004054,0.00001343,0.008756,conus-2023-grid
27067,0.00009945,0.00003607,0.01652,conus-2023-grid
27069,0.00003956,0.00001326,0.008412,conus-2023-grid
27071,0.00003725,0.00001263,0.006491,conus-2023-grid
27073,0.0001322,0.00004512,0.02211,conus-2023-grid
27075,0.00003153,0.00001058,0.006113,conus-2023-grid
27077,0.0000368,0.00001246,0.005639,conus-2023-grid
27079,0.00004871,0.00001568,0.03071,conus-2023-grid
27081,0.000135,0.00004523,0.0272,conus-2023-grid
27083,0.0001125,0.00003701,0.02222,conus-2023-grid
27085,0.00006609,0.00002238,0.02967,conus-2023-grid
27087,0.00005329,0.00001771,0.0104,conus-2023-grid
27089,0.00004098,0.00001367,0.008702,conus-2023-grid
27091,0.00006278,0.00002003,0.03665,conus-2023-grid
27093,0.00007797,0.0000274,0.01695,conus-2023-grid
27095,0.00004517,0.00001493,0.007796,conus-2023-grid
27097,0.00005613,0.00001851,0.00955,conus-2023-grid
27099,0.00004035,0.0000122,0.03661,conus-2023-grid
27101,0.0001084,0.00003557,0.03301,conus-2023-grid
27103,0.00005967,0.0000194,0.02845,conus-2023-grid
27105,0.0001073,0.00003492,0.0401,conus-2023-grid
27107,0.00005718,0.00001893,0.01153,conus-2023-grid
