fips,strategic_class,strategic_site_ids,strategic_km,strategic_bearing,uasi_share,uasi_area
16035,E,,,,0,
16037,E,,,,0,
16039,E,,,,0,
16041,E,,,,0,
16043,E,,,,0,
16045,E,,,,0,
16047,E,,,,0,
16049,E,,,,0,
16051,E,,,,0,
16053,E,,,,0,
16055,E,,,,0,
16057,E,,,,0,
16059,E,,,,0,
16061,E,,,,0,
16063,E,,,,0,
16065,E,,,,0,
16067,E,,,,0,
16069,E,,,,0,
16071,E,,,,0,
16073,E,,,,0,
16075,E,,,,0,
16077,E,,,,0,
16079,E,,,,0,
16081,E,,,,0,
16083,E,,,,0,
16085,E,,,,0,
16087,E,,,,0,
17001,E,,,,0,
17003,E,,,,0,
17005,C2,metro_41180,,,0.0000562,29
17007,E,,,,0,
17009,E,,,,0,
17011,E,,,,0,
17013,C2,metro_41180,,,0.00001491,29
17015,E,,,,0,
17017,E,,,,0,
17019,E,,,,0,
17021,E,,,,0,
17023,E,,,,0,
17025,E,,,,0,
17027,C2,metro_41180,,,0.0001237,29
17029,E,,,,0,
17031,C1,metro_16980,,,0.02909,5
17033,C2,refinery_17033,,,0,
17035,E,,,,0,
17037,C1,metro_16980,,,0.000554,5
17039,E,,,,0,
17041,E,,,,0,
17043,C1,metro_16980,,,0.005145,5
17045,E,,,,0,
17047,E,,,,0,
17049,E,,,,0,
17051,E,,,,0,
17053,E,,,,0,
17055,E,,,,0,
17057,E,,,,0,
17059,E,,,,0,
17061,E,,,,0,
17063,C1,metro_16980,,,0.0002896,5
17065,E,,,,0,
17067,E,,,,0,
17069,E,,,,0,
17071,E,,,,0,
17073,E,,,,0,
17075,E,,,,0,
17077,E,,,,0,
17079,E,,,,0,
17081,E,,,,0,
17083,C2,metro_41180,,,0.00007227,29
17085,E,,,,0,
17087,E,,,,0,
17089,C1,metro_16980,,,0.002848,5
17091,D,metro_16980,46.8,298,0,
17093,C1,metro_16980,,,0.0007278,5
17095,E,,,,0,
17097,C1,metro_16980,,,0.003937,5
17099,E,,,,0,
17101,E,,,,0,
17103,E,,,,0,
17105,E,,,,0,
17107,E,,,,0,
17109,E,,,,0,
17111,C1,metro_16980,,,0.001712,5
17113,E,,,,0,
17115,E,,,,0,
17117,C2,metro_41180,,,0.0001511,29
17119,C2,metro_41180;refinery_17119,,,0.0008931,29
17121,E,,,,0,
17123,E,,,,0,
17125,E,,,,0,
17127,E,,,,0,
17129,E,,,,0,
17131,E,,,,0,
17133,C2,metro_41180,,,0.0001173,29
17135,E,,,,0,
17137,E,,,,0,
17139,E,,,,0,
17141,E,,,,0,
17143,E,,,,0,
17145,E,,,,0,
17147,E,,,,0,
17149,E,,,,0,
17151,E,,,,0,
17153,E,,,,0,
17155,E,,,,0,
17157,E,,,,0,
17159,E,,,,0,
17161,E,,,,0,
17163,C2,metro_41180,,,0.0008645,29
17165,E,,,,0,
17167,E,,,,0,
17169,E,,,,0,
17171,E,,,,0,
17173,E,,,,0,
17175,E,,,,0,
17177,E,,,,0,
17179,E,,,,0,
17181,E,,,,0,
17183,E,,,,0,
17185,E,,,,0,
17187,E,,,,0,
17189,E,,,,0,
17191,E,,,,0,
17193,E,,,,0,
17195,E,,,,0,
17197,C1,metro_16980,,,0.003841,5
17199,E,,,,0,
17201,E,,,,0,
17203,E,,,,0,
18001,E,,,,0,
18003,E,,,,0,
18005,E,,,,0,
18007,D,metro_16980,123.4,315,0,
18009,E,,,,0,
18011,C2,metro_26900,,,0.0001771,42
18013,C2,metro_26900,,,0.00003873,42
18015,D,metro_16980,80.5,306,0,
18017,D,metro_16980,77.7,299,0,
18019,C2,metro_31140,,,0,
18021,E,,,,0,
18023,E,,,,0,
18025,E,,,,0,
18027,E,,,,0,
18029,C2,metro_17140,,,0.0001413,38
18031,E,,,,0,
18033,E,,,,0,
18035,E,,,,0,
18037,E,,,,0,
18039,D,metro_16980,100.6,263,0,
18041,E,,,,0,
18043,C2,metro_31140,,,0,
18045,E,,,,0,
18047,C2,metro_17140,,,0.00006354,38
18049,D,metro_16980,78.3,272,0,
18051,E,,,,0,
18053,D,metro_16980,141.1,297,0,
18055,E,,,,0,
18057,C2,metro_26900,,,0.000869,42
18059,C2,metro_26900,,,0.0001996,42
18061,C2,metro_31140,,,0,
18063,C2,metro_26900,,,0.0004314,42
18065,E,,,,0,
18067,D,metro_16980,109.4,309,0,
18069,D,metro_16980,141.7,280,0,
18071,E,,,,0,
18073,C1,metro_16980,,,0.0001814,5
18075,E,,,,0,
18077,E,,,,0,
18079,E,,,,0,
18081,C2,metro_26900,,,0.0004046,42
18083,E,,,,0,
18085,D,metro_16980,109.7,285,0,
18087,D,metro_16980,136.8,265,0,
18089,C1,metro_16980,,,0.002751,5
18091,D,metro_16980,29.2,243,0,
18093,E,,,,0,
18095,C2,metro_26900,,,0.0003255,42
18097,C2,metro_26900,,,0.002445,42
18099,D,metro_16980,71.8,285,0,
18101,E,,,,0,
18103,D,metro_16980,98.5,294,0,
18105,E,,,,0,
18107,E,,,,0,
18109,C2,metro_26900,,,0.0001795,42
