fips,sdwis_violation_pop_share,cws_pop_share
27091,0.0199,0.746
27093,0.0435,0.504
27095,0,0.427
27097,0.0192,0.428
27099,0.0162,0.805
27101,0,0.54
27103,0.0174,0.841
27105,0.0385,0.814
27107,0.0579,0.608
27109,0,0.887
27111,0.00728,0.441
27113,0.94,0.666
27115,0.0121,0.382
27117,0,0.742
27119,0.0108,0.661
27121,0,0.432
27123,0.682,1
27125,0,0.512
27127,0,0.673
27129,0,0.654
27131,0.00195,0.84
27133,0,0.978
27135,0.0352,0.465
27137,0.0473,0.758
27139,0.245,0.82
27141,0,0.472
27143,0.165,0.584
27145,0.00346,0.89
27147,0.00166,0.823
27149,0,0.714
27151,0,0.622
27153,0,0.397
27155,0.0313,0.648
27157,0,0.649
27159,0,0.493
27161,0.0167,0.682
27163,0,0.916
27165,0.295,0.725
27167,0,0.644
27169,0.691,0.81
27171,0.0088,0.805
27173,0.00903,0.709
28001,0.0363,1
