fips,sfha_home_share,claims_per_1000_policies_year,mean_paid_usd,residential_structures,residential_structures_sfha,policies_in_force,sfha_policy_share,claims_per_year,sfha_share_basis
18151,0.03721,9.524,5193,21820,812,105,0.1133,1,structures
18153,0.0003191,8.333,42210,9402,0,4,,0.03333,policies_lower_bound
18155,0.09167,51.19,21020,5378,493,56,0.1034,2.867,structures
18157,0.01176,31.07,20740,53750,632,177,0.1804,5.5,structures
18159,0.06914,21.69,21540,7290,504,126,0.2163,2.733,structures
18161,0.005478,66.67,24570,4016,22,1,0.04545,0.06667,structures
18163,0.04158,32.03,16370,66670,2772,461,0.09957,14.77,structures
18165,0.04015,19.86,12180,7572,304,47,0.148,0.9333,structures
18167,0.04246,38.99,28500,39480,1676,489,0.2399,19.07,structures
18169,0.01663,18.91,14280,14070,234,67,0.2137,1.267,structures
18171,0.01042,33.33,1983,4318,45,2,0.04444,0.06667,structures
18173,0.03402,15.9,12200,23510,800,130,0.1,2.067,structures
18175,0.01584,140.7,17830,13450,213,9,0.02817,1.267,structures
18177,0.0156,23.5,7325,28200,440,78,0.1545,1.833,structures
18179,0.008177,34.23,23200,11860,97,37,0.1649,1.267,structures
18181,0.06067,48.46,31440,13570,823,119,0.1276,5.767,structures
18183,0.01435,7.619,10780,15260,219,70,0.242,0.5333,structures
19001,0.0006867,,,7281,5,0,0,0,structures
19003,0.0157,66.67,13580,2420,38,2,0.02632,0.1333,structures
19005,0.03456,16.09,9306,8101,280,29,0.07857,0.4667,structures
19007,0.02158,66.67,20410,11400,246,3,0.004065,0.2,structures
19009,0.007451,,2632,3221,24,0,0,0.1,structures
19011,0.03065,40.95,24830,12400,380,70,0.1316,2.867,structures
19013,0.03004,74.85,25860,46110,1385,448,0.2231,33.53,structures
19015,0.0267,17.33,17670,11460,306,25,0.06536,0.4333,structures
19017,0.02812,174.5,26420,9816,276,107,0.1775,18.67,structures
19019,0.03105,134.9,11830,8309,258,65,0.1977,8.767,structures
19021,0.001239,0,,8072,0,11,,0,policies_lower_bound
19023,0.08416,79.94,28570,7890,664,113,0.1355,9.033,structures
19025,0.005504,0,,5996,33,3,0.0303,0,structures
19027,0.003292,4.762,3013,8506,28,14,0.2857,0.06667,structures
19029,0.01274,68.42,8456,6277,80,19,0.2,1.3,structures
19031,0.02536,18.52,54640,8361,212,27,0.09906,0.5,structures
19033,0.01834,61.25,26070,22740,417,80,0.1175,4.9,structures
19035,0.007262,89.92,14830,5233,0,43,,3.867,policies_lower_bound
19037,0.03257,42.53,16440,5220,170,29,0.1471,1.233,structures
19039,0.001307,,,4591,6,0,0,0,structures
19041,0.01627,14.79,69710,7377,0,133,,1.967,policies_lower_bound
19043,0.06639,51.37,22210,9008,598,85,0.1321,4.367,structures
19045,0.03787,38.58,10170,21730,823,108,0.09964,4.167,structures
19047,0.00005032,100,4452,19870,0,2,,0.2,policies_lower_bound
19049,0.003666,8.772,9147,34100,125,76,0.088,0.6667,structures
19051,0.004617,,,6714,31,0,0,0,structures
19053,0.003377,,4610,3553,12,0,0,0.06667,structures
19055,0.09054,32.83,12500,9951,901,66,0.06437,2.167,structures
19057,0.02368,42.89,37110,21080,499,129,0.1323,5.533,structures
19059,0.001017,16.13,28280,17690,0,31,,0.5,policies_lower_bound
19061,0.009834,91.67,12140,34880,343,76,0.1487,6.967,structures
19063,0.001674,27.78,9867,7170,0,12,,0.3333,policies_lower_bound
19065,0.02688,41.88,10710,10270,276,39,0.1014,1.633,structures
19067,0.04635,91.95,24960,8069,374,87,0.1898,8,structures
19069,0.009308,4.167,2903,4727,44,8,0.1136,0.03333,structures
19071,0.005515,85.25,54220,4714,0,61,,5.2,policies_lower_bound
19073,0.004439,50,5505,4956,22,2,0,0.1,structures
19075,0.001793,100,3670,5576,10,3,0.2,0.3,structures
19077,0.01022,15.69,23300,7729,79,17,0.1139,0.2667,structures
19079,0.01026,133.3,11020,11020,113,6,0.0177,0.8,structures
19081,0.003855,0,,5188,20,6,0.05,0,structures
19083,0.02927,13.79,18510,8405,246,29,0.1179,0.4,structures
19085,0.1281,22.98,28170,8748,1121,177,0.1418,4.067,structures
19087,0,,,8670,0,0,,0.03333,structures
19089,0.02721,14.29,6051,4741,129,14,0.1008,0.2,structures
19091,0.03618,66.67,10790,4920,178,15,0.0618,1,structures
19093,0.001748,38.1,4458,3433,0,7,,0.2667,policies_lower_bound
19095,0.02028,6.463,7932,12130,246,98,0.2642,0.6333,structures
19097,0.02622,37.68,15490,10410,273,23,0.05861,0.8667,structures
19099,0.003787,45.83,40810,15840,60,24,0.1333,1.1,structures
19101,0.004399,0,,7956,35,4,0,0,structures
19103,0.03422,16.3,73610,54680,1871,360,0.09514,5.867,structures
19105,0.04397,70.63,16010,12170,535,42,0.05421,2.967,structures
19107,0.09439,16.67,9779,13720,1295,4,0.002317,0.06667,structures
19109,0.00186,11.11,21560,7527,14,3,0,0.03333,structures
19111,0.05279,33.33,12010,25950,1370,38,0.009489,1.267,structures
19113,0.01169,43.46,51990,90750,1061,655,0.2375,28.47,structures
19115,0.07856,27.49,54210,6237,490,97,0.08776,2.667,structures
19117,0.002372,,,3794,9,0,0,0,structures
19119,0.006287,44.44,32760,5408,0,39,,1.733,policies_lower_bound
19121,0.005909,26.67,46080,7446,44,5,0.09091,0.1333,structures
19123,0.009072,27.78,16800,10690,97,12,0.07216,0.3333,structures
19125,0.01727,88.89,20920,16900,292,9,0.01712,0.8,structures
19127,0.02613,23.46,11060,17980,470,27,0.0383,0.6333,structures
19129,0.04486,46.97,92790,8292,372,44,0.03495,2.067,structures
19131,0.01653,77.78,23150,5264,87,9,0.05747,0.7,structures
19133,0.004852,32.18,33530,4740,0,29,,0.9333,policies_lower_bound
19135,0.007032,,,4266,30,0,0,0,structures
19137,0.1533,26.5,4378,5931,909,78,0.08251,2.067,structures
19139,0.02753,57.18,20740,17290,476,130,0.208,7.433,structures
19141,0.002382,26.67,36120,7137,17,5,0.2353,0.1333,structures
19143,0.003802,5.556,10680,2893,0,12,,0.06667,policies_lower_bound
19145,0.005957,33.33,3417,7219,43,2,0,0.06667,structures
19147,0.001112,16.67,18850,5396,0,8,,0.1333,policies_lower_bound
19149,0.001283,31.67,35060,10140,0,20,,0.6333,policies_lower_bound
19151,0.008534,0,,6328,54,1,0.01852,0,structures
19153,0.009808,25.67,26000,163900,1607,670,0.2278,17.2,structures
19155,0.05484,36.45,20560,41680,2286,557,0.1763,20.3,structures
19157,0.001948,0,,8214,16,7,0.25,0,structures
19159,0.002469,,,3645,9,0,0,0,structures
19161,0.0003255,0,,6145,0,4,,0,policies_lower_bound
19163,0.02969,69.74,12500,61160,1816,553,0.2434,38.57,structures
19165,0.02021,1.754,,5889,119,19,0.1176,0.03333,structures
19167,0.01045,7.947,98950,12150,0,151,,1.2,policies_lower_bound
