fips,karst_share,landslide_susceptible_share
19169,0.0653,0.104
19171,0.0357,0.287
19173,0.0299,0.347
19175,0.0463,0.464
19177,0.236,0.503
19179,0.104,0.441
19181,0.0162,0.501
19183,0.0405,0.29
19185,0,0.441
19187,0.00797,0.136
19189,0.0325,0.0941
19191,0.92,0.423
19193,0,0.51
19195,0.8,0.0573
19197,0,0.0646
20001,0.912,0.0775
20003,0.549,0.149
20005,0.154,0.35
20007,0.693,0.464
20009,0.357,0.0542
20011,0.713,0.192
20013,0.13,0.253
20015,0.928,0.132
20017,0.868,0.392
20019,0.387,0.37
20021,0.0631,0.133
20023,0.186,0.251
20025,0.376,0.296
20027,0.37,0.183
20029,0.214,0.226
20031,0.558,0.107
20033,0.398,0.31
20035,0.757,0.256
20037,0.55,0.134
20039,0.181,0.349
20041,0.817,0.15
20043,0.117,0.613
20045,0.411,0.332
20047,0.026,0.0754
20049,0.512,0.287
20051,0.368,0.265
20053,0.187,0.305
20055,0.0432,0.0668
20057,0.031,0.0758
20059,0.338,0.216
20061,0.767,0.491
20063,0.219,0.158
20065,0.36,0.276
20067,0,0.0205
20069,0,0.0282
20071,0.0768,0.0148
20073,0.549,0.277
20075,0.0441,0.066
20077,0.324,0.0819
20079,0.202,0.0559
20081,0,0.0138
20083,0.413,0.111
20085,0.232,0.292
20087,0.34,0.378
20089,0.318,0.311
20091,0.787,0.3
20093,0.0169,0.102
20095,0.209,0.094
20097,0.0144,0.253
20099,0.76,0.0978
20101,0.189,0.12
20103,0.288,0.474
20105,0.33,0.279
20107,0.689,0.259
20109,0.118,0.133
20111,0.38,0.173
20113,0.152,0.108
20115,0.811,0.111
20117,0.377,0.27
20119,0.136,0.195
20121,0.869,0.244
20123,0.362,0.168
20125,0.735,0.195
20127,0.925,0.217
20129,0.00635,0.0295
20131,0.0596,0.279
20133,0.777,0.105
20135,0.565,0.103
20137,0.241,0.426
20139,0.422,0.211
20141,0.378,0.319
20143,0.0365,0.213
20145,0.205,0.0403
20147,0.335,0.436
20149,0.508,0.471
20151,0,0.0636
20153,0.23,0.349
20155,0.0895,0.0416
20157,0.218,0.204
20159,0.0116,0.0597
20161,0.746,0.447
20163,0.507,0.274
20165,0.561,0.0762
20167,0.489,0.356
20169,0.149,0.173
20171,0.0596,0.061
20173,0.177,0.0799
20175,0.00784,0.086
20177,0.135,0.316
20179,0.157,0.223
20181,0.0873,0.0527
20183,0.382,0.335
20185,0,0.0427
20187,0.0352,0.0149
20189,0,0.0259
20191,0.218,0.0621
20193,0.0668,0.0507
20195,0.582,0.207
20197,0.677,0.411
20199,0.242,0.107
20201,0.303,0.293
20203,0.11,0.0396
20205,0.534,0.209
20207,0.401,0.156
20209,0.374,0.628
21001,0.376,0.777
21003,0.496,0.762
