fips,population,building_value_usd,eal_valt,sovi_score,resl_score,crf_value,coastal,tsunami_zone
19175,12120,3953000000,12520000,74.17,76.88,1.335,false,false
19177,7203,2128000000,8368000,71.34,39.09,1.343,false,false
19179,35420,8091000000,24060000,43.29,70.17,1.07,false,false
19181,52400,11240000000,18750000,10.62,91.32,0.6355,false,false
19183,22560,7082000000,13900000,41.7,90.3,1.051,false,false
19185,6492,1543000000,5940000,73.92,46.15,1.363,false,false
19187,36990,8765000000,24730000,21.47,83.17,0.8974,false,false
19189,10680,3495000000,9587000,45.71,83.27,1.084,false,false
19191,20050,7489000000,15200000,12.18,91.57,0.7848,false,false
19193,105900,21680000000,50680000,39.38,87.75,1.034,false,false
19195,7443,2464000000,7031000,10.62,68.51,0.7089,false,false
19197,12940,4369000000,12990000,39.79,77.13,1.043,false,false
20001,12520,3066000000,7741000,13.61,58.68,0.818,false,false
20003,7830,1856000000,5052000,76.43,45.96,1.392,false,false
20005,16340,4987000000,9440000,10.62,77.32,0.6885,false,false
20007,4227,2119000000,14110000,24.49,55.53,0.9294,false,false
20009,25480,8167000000,18400000,60.37,70.45,1.21,false,false
20011,14360,3492000000,10240000,52.7,58.08,1.152,false,false
20013,9503,3716000000,7156000,20.23,82.25,0.8867,false,false
20015,67340,14560000000,42320000,13.61,67.27,0.8169,false,false
20017,2564,1009000000,5116000,24.43,42.88,0.933,false,false
20019,3379,1463000000,4938000,45.45,10.11,1.122,false,false
20021,19340,5088000000,16960000,43.51,34.96,1.089,false,false
20023,2616,1760000000,3060000,81.01,39.92,1.452,false,false
20025,1991,1036000000,4341000,22.42,71.12,0.9101,false,false
20027,8117,2589000000,6118000,46.47,96.34,1.078,false,false
20029,9027,3295000000,7410000,39.09,94.78,1.026,false,false
20031,8345,2859000000,8503000,79.55,81.93,1.384,false,false
20033,1686,875500000,6141000,61.32,43.45,1.239,false,false
20035,34540,8497000000,27020000,44.59,61.01,1.086,false,false
20037,38960,9958000000,27350000,51.91,62.44,1.144,false,false
20039,2755,1602000000,5663000,25.99,35.05,0.9479,false,false
20041,18390,6014000000,15890000,38.99,88.55,1.031,false,false
