fips,event_type,rate_per_year,share_damaging,median_days,p90_days,events,share_injury,source,years
42045,winter_storm,2.367,0.04225,0.6667,1.375,71,0.05634,storm_events,1996-2025
42047,drought,0.06667,0,0,0,2,0,storm_events,1996-2025
42047,extreme_cold,0.7,0,0.9167,1.75,21,0,storm_events,1996-2025
42047,flash_flood,0.2333,0,0.1667,0.4653,7,0,storm_events,1996-2025
42047,flood,0.2333,0.1429,0.5,3,7,0,storm_events,1996-2025
42047,hail_1in_day,0.3,0,,,9,0,spc,1996-2025
42047,high_wind,0.4667,0.1429,0.25,0.5833,14,0,storm_events,1996-2025
42047,hurricane_passage,0.01316,,,,1,,hurdat2,1950-2025
42047,ice_storm,0.2667,0,0.625,1.708,8,0,storm_events,1996-2025
42047,severe_wind_65kt_day,0.1,0.3333,,,3,0,spc,1996-2025
42047,severe_wind_day,3.4,0.6078,,,102,0,spc,1996-2025
42047,tornado,0.4333,0.5385,,,13,0.07692,spc,1996-2025
42047,tornado_ef2plus,0.03333,0,,,1,0,spc,1996-2025
42047,tropical_storm_passage,0.02632,,,,2,,hurdat2,1950-2025
42047,wildfire,0.03333,0,3.083,3.083,1,1,storm_events,1996-2025
42047,winter_storm,1.733,0.01923,0.6667,1.125,52,0,storm_events,1996-2025
42049,coastal_flood,0.2,1,0.166,0.875,6,0,storm_events,1996-2025
42049,drought,0.1667,0,31,31,5,0,storm_events,1996-2025
42049,extreme_cold,0.3667,0.2727,0.875,2.75,11,0,storm_events,1996-2025
42049,flash_flood,1.8,0.6852,0.0625,0.1667,54,0.01852,storm_events,1996-2025
42049,flood,0.4333,0.9231,0.2083,29.96,13,0,storm_events,1996-2025
42049,hail_1in_day,1.1,0.4848,,,33,0,spc,1996-2025
42049,hail_2in_day,0.1,0,,,3,0,spc,1996-2025
42049,heat,0.03333,0,31,31,1,0,storm_events,1996-2025
42049,high_wind,1.867,0.875,0.1396,0.5,56,0.01786,storm_events,1996-2025
42049,ice_storm,0.03333,1,0.375,0.375,1,0,storm_events,1996-2025
42049,severe_wind_65kt_day,0.1,0,,,3,0,spc,1996-2025
42049,severe_wind_day,5.3,0.8113,,,159,0.02516,spc,1996-2025
42049,tornado,0.2667,1,,,8,0.25,spc,1996-2025
42049,tornado_ef2plus,0.06667,1,,,2,0,spc,1996-2025
42049,tropical_storm_passage,0.03947,,,,3,,hurdat2,1950-2025
42049,winter_storm,8,0.7625,0.9583,1.833,240,0.01667,storm_events,1996-2025
42051,drought,0.1,0,29.96,30.96,3,0,storm_events,1996-2025
42051,extreme_cold,0.1667,0,1.75,2.5,5,0,storm_events,1996-2025
42051,flash_flood,2.867,0.5465,0.08333,0.3125,86,0.01163,storm_events,1996-2025
42051,flood,0.9333,0.4643,0.1667,0.5257,28,0,storm_events,1996-2025
42051,hail_1in_day,1,0.03333,,,30,0,spc,1996-2025
42051,hail_2in_day,0.1,0.3333,,,3,0,spc,1996-2025
