fips,events_per_customer_year,p_ge_1d,p_ge_3d,p_ge_7d,p_ge_14d,median_hours,p90_hours,years_covered,years_of_data,duration_basis,events_per_year,events,customers,customer_hours_per_customer_year,share_customer_hours_in_events,longest_event_hours
12029,1.646,0.1427,0.01891,0,0,2,37.25,2014-2025,11.17,county,21.4,239,14190,20.11,0.9309,214.8
12031,1.502,0.01909,0.003867,0,0,1,10,2014-2025,11.17,county,5.821,65,483000,7.129,0.7938,172.8
12033,0.3198,0.2119,0.1177,0,0,4,84.25,2014-2025,11.17,county,9.582,107,180900,7.884,0.816,178.8
12035,1.604,0.1632,0.01202,0,0,1.5,30.5,2014-2025,11.17,county,10.57,118,58760,17.8,0.9311,186.5
12037,3.658,0.1517,0.01534,0.0002982,0,2.5,30.5,2014-2025,11.17,county,28.75,321,4761,36.31,0.9575,186
12039,0.7955,0.08824,0.05583,0.02999,0.002108,2,16.5,2015-2025,10.33,county,18.1,187,36010,12.59,0.9252,394
12041,1.88,0.1131,0.009367,0,0,2,24.75,2014-2025,11.17,county,22.12,247,12800,19.26,0.9022,193
12043,0.6182,0.1642,0.04261,0,0,3,35,2014-2025,11.17,county,13.61,152,6357,8.299,0.934,285.8
12045,2.812,0.04965,0.02335,0,0,1.75,6.25,2014-2025,11.17,county,27.76,310,9722,18.35,0.9384,201.2
12047,2.32,0.1473,0.04423,0.002636,0,2.5,31,2014-2025,11.17,county,33.04,369,8888,29.92,0.9034,292.5
12049,1.796,0.1035,0.0347,0,0,1.75,24,2014-2025,10.92,county,17.86,195,11800,18.79,0.9106,265
12051,1.16,0.09917,0.02503,0.0003229,0,1,23.25,2014-2025,11.17,county,12.45,139,23910,9.859,0.9254,274
12053,0.6286,0.06715,0.0226,0,0,1.25,19.25,2014-2025,11.17,county,18.9,211,108500,5.203,0.8026,192.5
12055,1.576,0.2124,0.07556,0,0,1.5,53.5,2014-2025,11.17,county,24.27,271,44680,31.99,0.9439,231.2
12057,1.348,0.01683,0.008251,0,0,2,10.25,2014-2025,11.17,county,1.97,22,998900,6.921,0.8291,152.8
12059,1.498,0.03747,0,0,0,1.75,8.75,2014-2025,11.17,county,24.9,278,12700,8.063,0.8873,144.5
12061,1.49,0.1071,0.01207,0,0,1.25,26,2014-2025,11.17,county,14.78,165,65740,13.83,0.8465,215.5
12063,0.8197,0.1031,0.03807,0.0222,0,2.25,26.25,2014-2025,11.17,county,15.94,178,29420,12.62,0.9229,456.5
12065,3.957,0.1683,0.02735,0,0,2.5,32.5,2014-2025,11.17,county,52.93,591,7283,45.63,0.9565,209.8
12067,3.042,0.1025,0.0303,0.003365,0,2.5,24.25,2014-2025,11.17,county,33.58,375,4645,33.31,0.9092,292
12069,0.4551,0.1914,0.06583,0,0,3.25,50.5,2014-2025,11.17,county,7.433,83,199400,8.391,0.855,221.2
12071,0.4788,0.3927,0.08983,0.01848,0,15.5,59.75,2014-2025,11.17,county,2.239,25,628600,16.27,0.8871,555.5
12073,0.66,0.1816,0.04746,0,0,2.5,52.25,2014-2025,11.08,county,16.96,188,196900,10.87,0.8612,198.8
12075,1.483,0.08665,0.001355,0,0,1.75,22,2014-2025,11.17,county,23.55,263,27820,13.92,0.8884,182.8
12077,2.9,0.03285,0.02605,0.01642,0.001462,1.75,7.5,2015-2025,10.42,county,24.38,254,4459,25.35,0.9639,398.8
12079,2.624,0.213,0.05653,0,0,2,49.75,2014-2025,11.17,county,27.94,312,9415,43.17,0.9195,214.8
12081,0.7912,0.1841,0.03554,0,0,4,50.75,2014-2025,11.17,county,5.821,65,266400,13.81,0.8832,225.8
12083,0.5084,0.1566,0.05461,0,0,5.25,49.5,2014-2025,11.17,county,12.99,145,217600,9.44,0.7982,224.5
12085,0.5949,0.1159,0.02065,0,0,4.75,28.75,2014-2025,11.17,county,6.896,77,111100,7.343,0.9034,189.8
12086,0.4711,0.1551,0.05853,0.007417,0,8.75,37.75,2014-2025,11.17,county,2.687,30,952700,10.86,0.7559,261.8
12087,0.8916,0.07533,0,0,0,1.75,20.25,2014-2025,11.17,county,10.93,122,103900,5.985,0.9128,410
12089,1.029,0.0567,0.008212,0,0,1.5,13.75,2014-2025,11.17,county,15.31,171,52490,7.415,0.8386,216.2
12091,0.2206,0.05705,0,0,0,2.25,18.25,2014-2025,11.17,county,7.254,81,131200,2.257,0.557,71.5
12093,1.738,0.07806,0.02505,0,0,1.25,22.75,2014-2025,11.17,county,18.72,209,18220,15.02,0.9488,197.5
12095,0.2978,0.2674,0.1216,0,0,11.75,73.75,2014-2025,11.17,county,3.224,36,491400,9.536,0.784,227.5
12097,0.2635,0.09254,0.03052,0.003953,0,2,21,2014-2025,11.17,county,8.507,95,179800,3.627,0.7702,217.5
12099,0.5391,0.1115,0.04253,0,0,5,27.75,2014-2025,11.17,county,3.313,37,589600,8.973,0.7819,214
12101,0.4957,0.1627,0.06462,0,0,2.25,49.75,2014-2025,11.17,county,11.01,123,279300,8.676,0.8212,179.8
12103,0.7965,0.2769,0.1682,0,0,7.75,97.25,2014-2025,11.17,county,10.03,112,418700,24.81,0.8994,240
12105,0.4769,0.1792,0.05859,0,0,11.75,59.75,2014-2025,11.17,county,8.239,92,314000,11.24,0.8106,241
12107,1.123,0.09781,0.01027,0,0,2.25,23.75,2014-2025,11.17,county,20.15,225,51840,10.91,0.8722,205.2
12109,0.8581,0.1254,0.009885,0,0,2.75,25.75,2014-2025,11.17,county,10.39,116,116600,9.578,0.8874,205.5
12111,0.3774,0.1458,0.02584,0,0,4.75,30.25,2014-2025,11.17,county,4.478,50,222200,5.223,0.8744,172
12113,0.3532,0.1642,0.04628,0,0,2.25,41.75,2014-2025,11.17,county,9.224,103,96910,5.081,0.7993,138.8
12115,0.7914,0.2424,0.03746,0,0,11.25,58.75,2014-2025,11.17,county,3.134,35,310600,16.57,0.919,232
