zip,place,zip_land_share
06441,0938050,0.212
06443,0944630,0.056
06447,0975200,0.049
06450,0946450,1
06451,0946450,0.998
06457,0947290,1
06459,0947290,1
06460,0947515,0.978
06460,0988050,0.022
06461,0947515,1
06468,0924520,0.25
06468,0973280,0.258
06469,0949110,0.306
06470,0906680,0.022
06470,0920250,0.012
06470,0937490,0.013
06470,0952910,0.062
06472,0954450,0.497
06473,0922980,0.037
06473,0954940,0.963
06475,0927810,0.026
06475,0957390,0.131
06475,0967050,0.051
06477,0957670,1
06479,0960260,0.147
06480,0961870,0.259
06482,0966700,0.779
06484,0968100,1
06488,0937930,0.067
06492,0978880,0.182
06498,0981750,0.107
06510,0952000,1
06511,0952000,0.998
06512,0922980,0.78
06512,0952000,0.22
06513,0922980,0.451
06513,0952000,0.549
06515,0952000,1
06516,0982800,1
06518,0963313,0.023
06519,0952000,1
06604,0908000,1
06605,0908000,1
06606,0908000,1
06607,0908000,0.993
06608,0908000,1
06610,0908000,1
06611,0918675,0.209
06611,0943580,0.139
06611,0975116,0.157
06611,0977278,0.244
06612,0960365,0.03
06614,0957880,0.203
06614,0974303,0.041
06615,0944000,0.131
06615,0974303,0.027
06702,0980000,1
06704,0980000,1
06705,0980000,0.964
06706,0980000,1
06708,0980000,1
06710,0980000,1
06750,0902690,0.13
06751,0904945,0.41
06752,0908140,0.016
06753,0917170,0.119
06754,0917310,0.068
06755,0930470,0.317
06759,0943300,0.026
06770,0949880,0.995
06776,0952560,0.072
06777,0952770,0.409
06779,0956690,0.801
06784,0941714,0.026
06784,0968240,0.016
06786,0975240,0.193
06787,0975660,0.098
06790,0976500,0.954
06791,0955725,0.282
06794,0952770,0.028
06795,0956690,0.046
06795,0980420,0.091
06796,0982030,0.049
06798,0987980,0.056
06801,0904790,0.362
06804,0911640,0.014
06804,0911780,0.012
06807,0917520,0.597
06810,0918430,0.998
06811,0918430,1
06812,0902480,0.055
06812,0904965,0.033
06812,0911360,0.019
06812,0939747,0.022
06812,0966113,0.018
06812,0975065,0.024
06820,0918936,0.062
06820,0953540,0.143
06820,0953610,0.069
06820,0976150,0.185
06824,0926698,0.017
06824,0947990,0.024
06824,0949720,0.074
06825,0960365,0.025
06825,0966086,0.017
06830,0910660,0.058
06830,0917520,0.015
06830,0933690,0.317
06830,0939695,0.066
06831,0931520,0.027
06831,0933690,0.02
06831,0959210,0.025
06831,0965160,0.033
06831,0973000,0.048
06840,0950576,0.07
06850,0955990,1
06851,0955990,1
06853,0955990,1
06854,0955990,1
06855,0955990,0.967
06870,0956900,0.868
06870,0964530,0.02
06877,0941585,0.026
06877,0941736,0.039
06877,0944660,0.012
06877,0963830,0.159
06877,0963900,0.181
06877,0965685,0.02
06877,0983045,0.062
06878,0964530,0.983
06880,0916085,0.185
06880,0916525,0.085
06880,0933480,0.19
06880,0956935,0.108
06880,0961555,0.053
06880,0966770,0.092
06880,0973175,0.217
06880,0983586,0.064
06883,0983360,0.076
06890,0971040,0.299
06896,0930540,0.011
06896,0963620,0.022
06897,0911990,0.012
06897,0930540,0.088
06897,0971215,0.042
06897,0986380,0.037
06901,0973000,1
06902,0973000,1
06903,0973000,1
06905,0973000,1
06906,0973000,1
06907,0973000,0.993
07001,3402350,0.91
07001,3460540,0.09
07002,3403580,1
07003,3401184,0.052
07003,3408110,0.301
07003,3467590,0.019
07003,3477750,0.116
07005,3406610,0.128
07005,3456430,0.011
07006,3409250,0.126
07006,3452620,0.328
07008,3410750,0.999
07010,3413570,0.999
07011,3413690,1
07012,3413690,1
07013,3413690,0.999
07014,3413690,0.997
07016,3415638,0.071
07017,3419390,0.999
07018,3419390,1
07020,3420020,1
07021,3421840,1
07022,3422560,1
07023,3422860,1
07024,3424420,1
07026,3425770,1
07027,3425800,1
07028,3426610,0.974
07029,3419360,0.078
07029,3430210,0.922
07030,3432250,0.992
07031,3452320,1
07032,3436510,1
07033,3436690,1
07034,3437680,0.865
07035,3437110,0.039
07035,3440290,0.961
07036,3440350,0.983
07041,3467320,0.034
07043,3413690,0.04
07043,3447524,0.017
07043,3475020,0.934
07045,3458650,0.033
07046,3448480,0.993
07052,3440990,0.059
07052,3459385,0.066
07054,3456430,0.426
07054,3461560,0.026
07054,3474150,0.208
07055,3456550,1
07057,3476490,1
07058,3458650,0.997
07060,3453280,0.376
07060,3459190,0.624
07062,3453280,0.122
07062,3459190,0.878
07063,3453280,0.39
07063,3459190,0.61
07064,3460540,1
07065,3461530,1
07067,3414380,1
07068,3464590,1
07069,3477600,0.95
07070,3465280,1
07072,3410480,1
07073,3419510,1
07074,3447700,1
07075,3482570,1
07077,3460540,0.208
07077,3466720,0.792
